"PublisherLabel" "RegistrationDate" "Ethnicity" "Nationality" "Reason" "Need" "Age" "DecisionDate" "Decision" "DecisionCode"
"London Borough of Hounslow" 1974-10-04 "White: British" "UK National" "end AST not arrears" "dependent children" 40 2014-10-13 "Not Homeless" 4
"London Borough of Hounslow" 1999-08-09 "Asian/AsBrit: Other" "Non-EEA National" "eviction - relatives" "dependent children" 42 2007-01-18 "approved permanent rehous" 1
"London Borough of Hounslow" 1999-10-01 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "dependent children" 35 2006-05-18 "approved permanent rehous" 1
"London Borough of Hounslow" 1999-10-14 "Asian/AsBrit: Other" "Not Rec" "eviction - relatives" "vulnerable - physical" 62 2007-11-08 "approved permanent rehous" 1
"London Borough of Hounslow" 2000-11-07 "Asian/AsBrit: Other" "Not Rec" "eviction - friends" "dependent children" 49 2009-10-06 "approved permanent rehous" 1
"London Borough of Hounslow" 2000-11-29 "White: Irish" "Not Rec" "rent arrears - private" "dependent children" 49 2008-01-30 "Not Homeless" 4
"London Borough of Hounslow" 2001-01-17 "Black/BlkBrit: Other" "UK National" "rent arrears - private" "dependent children" 31 2011-07-01 "Intentionally homeless" 2
"London Borough of Hounslow" 2001-06-18 "Asian/AsBrit: Indian" "Not Rec" "eviction - relatives" "dependent children" 38 2005-05-27 "Not Homeless" 4
"London Borough of Hounslow" 2001-09-04 "White: British" "Not Rec" "eviction - relatives" "dependent children" 55 2005-11-01 "Not Homeless" 4
"London Borough of Hounslow" 2001-09-24 "White: Other" "Not Rec" "relationshp brkdwn not DV" "dependent children" 33 2007-06-26 "Not Homeless" 4
"London Borough of Hounslow" 2001-12-21 "Black/BlkBrit: African" "Non-EEA National" "eviction - friends" "pregnant" 35 2006-01-14 "approved permanent rehous" 1
"London Borough of Hounslow" 2002-03-14 "White: British" "UK National" "eviction - parents" "dependent children" 30 2011-04-26 "approved permanent rehous" 1
"London Borough of Hounslow" 2002-03-18 "Asian/AsBrit: Pakistani" "Not Rec" "eviction - relatives" "dependent children" 32 2006-12-19 "Not Homeless" 4
"London Borough of Hounslow" 2002-04-22 "Asian/AsBrit: Pakistani" "Not Rec" "eviction - relatives" "vulnerable - old age" 65 2005-10-14 "Not Homeless" 4
"London Borough of Hounslow" 2002-07-31 "Black/BlkBrit: African" "Not Rec" "end AST not arrears" "dependent children" 32 2006-02-09 "approved permanent rehous" 1
"London Borough of Hounslow" 2002-10-28 "Black/BlkBrit: African" "Not Rec" "leaving hospital" "vulnerable-mental illness" 30 2006-12-01 "not elig, other" 5
"London Borough of Hounslow" 2002-11-11 "Asian/AsBrit: Pakistani" "Not Rec" "eviction - relatives" "dependent children" 35 2006-12-12 "Not Homeless" 4
"London Borough of Hounslow" 2002-12-06 "Asian/AsBrit: Other" "Not Rec" "eviction - parents" "young person 16/17 yrs" 26 2007-06-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2003-02-14 "Black/BlkBrit: Caribbean" "Not Rec" "eviction - parents" "pregnant" 24 2005-10-04 "Not Homeless" 4
"London Borough of Hounslow" 2003-03-07 "No Information Provided" "Not Rec" "eviction - relatives" "dependent children" 67 2005-04-05 "Not Homeless" 4
"London Borough of Hounslow" 2003-05-14 "Asian/AsBrit: Other" "Not Rec" "eviction - friends" "vulnerable-mental illness" 31 2005-04-29 "resettlement case" 1
"London Borough of Hounslow" 2003-05-19 "White: British" "Not Rec" "end AST not arrears" "no priority need" 46 2006-03-01 "no priority need" 3
"London Borough of Hounslow" 2003-07-17 "White: British" "Not Rec" "eviction - friends" "dependent children" 43 2005-10-04 "Not Homeless" 4
"London Borough of Hounslow" 2003-08-29 "White: British" "Not Rec" "eviction - parents" "dependent children" 45 2006-12-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2003-10-06 "Other" "Not Rec" "rent arrears - HA" "dependent children" 28 2007-04-20 "approved permanent rehous" 1
"London Borough of Hounslow" 2003-11-28 "White: Other" "Not Rec" "eviction - parents" "dependent children" 26 2005-09-01 "Not Homeless" 4
"London Borough of Hounslow" 2003-12-08 "White: British" "Not Rec" "eviction - parents" "dependent children" 21 2006-09-23 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-01-07 "Asian/AsBrit: Other" "UK National" "end AST not arrears" "dependent children" 35 2011-05-11 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-01-16 "White: Other" "Not Rec" "end AST not arrears" "no priority need" 46 2007-07-04 "no priority need" 3
"London Borough of Hounslow" 2004-01-27 "Black/BlkBrit: African" "Not Rec" "eviction - friends" "dependent children" 53 2005-04-21 "approved permanent rehous" 1
"London Borough of Hounslow" 2004-02-04 "Black/BlkBrit: African" "Not Rec" "loss of rented - other" "dependent children" 37 2005-08-26 "Not Homeless" 4
"London Borough of Hounslow" 2004-02-04 "White: British" "Not Rec" "eviction - parents" "dependent children" 24 2006-03-16 "approved permanent rehous" 1
